Time | RefInterval | ActualInterval | AvgPlayerInterval
--------------------------------------------------------
1s | RefInterval: 2.212 | ActualInterval: 1.980 | AvgPlayerInterval: 1.980
1s | RefInterval: 2.129 | ActualInterval: 1.660 | AvgPlayerInterval: 1.660
2s | RefInterval: 2.050 | ActualInterval: 1.340 | AvgPlayerInterval: 1.340
3s | RefInterval: 1.975 | ActualInterval: 1.020 | AvgPlayerInterval: 1.020
3s | RefInterval: 1.904 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
4s | RefInterval: 1.837 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
5s | RefInterval: 1.773 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
6s | RefInterval: 1.713 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
6s | RefInterval: 1.656 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
7s | RefInterval: 1.602 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
8s | RefInterval: 1.550 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
8s | RefInterval: 1.502 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
9s | RefInterval: 1.456 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
10s | RefInterval: 1.412 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
11s | RefInterval: 1.370 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
11s | RefInterval: 1.331 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
12s | RefInterval: 1.294 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
13s | RefInterval: 1.259 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
13s | RefInterval: 1.225 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
14s | RefInterval: 1.194 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
15s | RefInterval: 1.164 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
15s | RefInterval: 1.135 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
16s | RefInterval: 1.108 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
17s | RefInterval: 1.083 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
18s | RefInterval: 1.059 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
18s | RefInterval: 1.036 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
19s | RefInterval: 1.014 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
20s | RefInterval: 0.993 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
20s | RefInterval: 0.974 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
21s | RefInterval: 0.955 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
22s | RefInterval: 0.938 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
22s | RefInterval: 0.921 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
23s | RefInterval: 0.905 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
24s | RefInterval: 0.890 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
