Time | RefInterval | ActualInterval | AvgPlayerInterval
--------------------------------------------------------
2s | RefInterval: 2.061 | ActualInterval: 2.240 | AvgPlayerInterval: 2.240
4s | RefInterval: 1.856 | ActualInterval: 2.180 | AvgPlayerInterval: 2.180
6s | RefInterval: 1.680 | ActualInterval: 2.120 | AvgPlayerInterval: 2.120
8s | RefInterval: 1.529 | ActualInterval: 2.060 | AvgPlayerInterval: 2.060
10s | RefInterval: 1.400 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
12s | RefInterval: 1.289 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
14s | RefInterval: 1.194 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
16s | RefInterval: 1.112 | ActualInterval: 1.927 | AvgPlayerInterval: 2.000
18s | RefInterval: 1.042 | ActualInterval: 1.771 | AvgPlayerInterval: 2.000
20s | RefInterval: 0.982 | ActualInterval: 1.637 | AvgPlayerInterval: 2.000
22s | RefInterval: 0.930 | ActualInterval: 1.520 | AvgPlayerInterval: 2.000
24s | RefInterval: 0.886 | ActualInterval: 1.418 | AvgPlayerInterval: 2.000
26s | RefInterval: 0.848 | ActualInterval: 1.329 | AvgPlayerInterval: 2.000
28s | RefInterval: 0.816 | ActualInterval: 1.251 | AvgPlayerInterval: 2.000
30s | RefInterval: 0.788 | ActualInterval: 1.182 | AvgPlayerInterval: 2.000
32s | RefInterval: 0.764 | ActualInterval: 1.121 | AvgPlayerInterval: 2.000
34s | RefInterval: 0.744 | ActualInterval: 1.066 | AvgPlayerInterval: 2.000
36s | RefInterval: 0.726 | ActualInterval: 1.016 | AvgPlayerInterval: 2.000
38s | RefInterval: 0.711 | ActualInterval: 0.972 | AvgPlayerInterval: 2.000
40s | RefInterval: 0.698 | ActualInterval: 0.931 | AvgPlayerInterval: 2.000
42s | RefInterval: 0.687 | ActualInterval: 0.893 | AvgPlayerInterval: 2.000
44s | RefInterval: 0.677 | ActualInterval: 0.858 | AvgPlayerInterval: 2.000
46s | RefInterval: 0.669 | ActualInterval: 0.825 | AvgPlayerInterval: 2.000
48s | RefInterval: 0.662 | ActualInterval: 0.795 | AvgPlayerInterval: 2.000
50s | RefInterval: 0.656 | ActualInterval: 0.766 | AvgPlayerInterval: 2.000
52s | RefInterval: 0.651 | ActualInterval: 0.738 | AvgPlayerInterval: 2.000
54s | RefInterval: 0.647 | ActualInterval: 0.711 | AvgPlayerInterval: 2.000
56s | RefInterval: 0.643 | ActualInterval: 0.686 | AvgPlayerInterval: 2.000
58s | RefInterval: 0.640 | ActualInterval: 0.661 | AvgPlayerInterval: 2.000
60s | RefInterval: 0.637 | ActualInterval: 0.637 | AvgPlayerInterval: 2.000
62s | RefInterval: 0.634 | ActualInterval: 0.634 | AvgPlayerInterval: 2.000
64s | RefInterval: 0.632 | ActualInterval: 0.632 | AvgPlayerInterval: 2.000
66s | RefInterval: 0.631 | ActualInterval: 0.631 | AvgPlayerInterval: 2.000
68s | RefInterval: 0.629 | ActualInterval: 0.629 | AvgPlayerInterval: 2.000
70s | RefInterval: 0.628 | ActualInterval: 0.628 | AvgPlayerInterval: 2.000
72s | RefInterval: 0.627 | ActualInterval: 0.627 | AvgPlayerInterval: 2.000
74s | RefInterval: 0.626 | ActualInterval: 0.626 | AvgPlayerInterval: 2.000
76s | RefInterval: 0.625 | ActualInterval: 0.625 | AvgPlayerInterval: 2.000
78s | RefInterval: 0.624 | ActualInterval: 0.624 | AvgPlayerInterval: 2.000
80s | RefInterval: 0.624 | ActualInterval: 0.624 | AvgPlayerInterval: 2.000
82s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 2.000
84s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 2.000
86s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 2.000
88s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 2.000
90s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 2.000
92s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 2.000
94s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 2.000
96s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 2.000
98s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 2.000
100s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 2.000
